Sual_1;Sual_2;Korrelyasiya
Bilet alma prosesini necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;1.00
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;0.27
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;0.12
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Bilet alma prosesini necə qiymətləndirirsiniz?;0.12
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;0.05
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;-0.06
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;0.13
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;-0.03
Klubun faəliyyətini necə dəyərləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;0.10
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Bilet alma prosesini necə qiymətləndirirsiniz?;0.26
Bilet alma prosesini necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.27
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;1.00
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.51
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.24
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.10
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;-0.05
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.26
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.31
Klubun faəliyyətini necə dəyərləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.05
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;0.13
Bilet alma prosesini necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.12
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.51
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;1.00
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.40
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.25
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.31
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.21
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.11
Klubun faəliyyətini necə dəyərləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.23
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;0.09
Bilet alma prosesini necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.12
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.24
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.40
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);1.00
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.34
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.39
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.12
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.19
Klubun faəliyyətini necə dəyərləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.07
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);0.16
Bilet alma prosesini necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.05
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.10
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.25
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.34
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;1.00
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.57
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.29
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.41
Klubun faəliyyətini necə dəyərləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.30
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Tribunaların təmizliyini necə qiymətləndirirsiniz?;0.19
Bilet alma prosesini necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;-0.06
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;-0.05
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.31
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.39
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.57
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;1.00
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.18
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.23
Klubun faəliyyətini necə dəyərləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.36
Sponsorun dəstəyini necə dəyərləndirirsiniz?;Tualetlərin təmizliyini necə qiymətləndirirsiniz?;0.18
Bilet alma prosesini necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.13
Bilet yoxlayan əməkdaşların işini necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.26
Təhlükəsizlik xidmətinin işini necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.21
Könüllülərin işini necə qiymətləndirirsiniz? (istiqamətin göstərilməsi, sualların cavablandırılması və s.);Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.12
Tribunaların təmizliyini necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.29
Tualetlərin təmizliyini necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.18
Stadionda olan ab-havanı necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;1.00
Ümumi oyunun təşkilini necə qiymətləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.57
Klubun faəliyyətini necə dəyərləndirirsiniz?;Stadionda olan ab-havanı necə qiymətləndirirsiniz?;0.46
